date_of_infraction,infraction_code,infraction_description,set_fine_amount,location2
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,30 MEADOWGLEN PL
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2 COOPER ST
20220101,3,PARK ON PRIVATE PROPERTY,30,15 FORT YORK BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,15 FORT YORK BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,3725 DUNDAS ST W
20220101,3,PARK ON PRIVATE PROPERTY,30,38 MONTE KWINTER CRT
20220101,3,PARK ON PRIVATE PROPERTY,30,72 ESTHER SHINER BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,72 ESTHER SHINER BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,72 ESTHER SHINER BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,72 ESTHER SHINER BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,72 ESTHER SHINER BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,72 ESTHER SHINER BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,72 ESTHER SHINER BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,72 ESTHER SHINER BLVD
